GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006
Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
1400000US08001007801,08001007801,"Census Tract 78.01, Adams County, Colorado",1372,1372,1372,0,0,0
1400000US08001007802,08001007802,"Census Tract 78.02, Adams County, Colorado",1516,1516,1516,0,0,0
1400000US08001007900,08001007900,"Census Tract 79, Adams County, Colorado",1995,1995,1995,0,0,0
1400000US08001008000,08001008000,"Census Tract 80, Adams County, Colorado",1899,1899,1899,0,0,0
1400000US08001008100,08001008100,"Census Tract 81, Adams County, Colorado",361,361,361,0,0,0
1400000US08001008200,08001008200,"Census Tract 82, Adams County, Colorado",1581,1581,1581,0,0,0
1400000US08001008308,08001008308,"Census Tract 83.08, Adams County, Colorado",1973,1973,1973,0,0,0
1400000US08001008309,08001008309,"Census Tract 83.09, Adams County, Colorado",1149,1149,1149,0,0,0
1400000US08001008353,08001008353,"Census Tract 83.53, Adams County, Colorado",2309,2256,2256,0,53,0
1400000US08001008401,08001008401,"Census Tract 84.01, Adams County, Colorado",1680,0,0,0,1680,0
1400000US08001008402,08001008402,"Census Tract 84.02, Adams County, Colorado",1682,0,0,0,1682,0
1400000US08001008505,08001008505,"Census Tract 85.05, Adams County, Colorado",2457,2457,2457,0,0,0
1400000US08001008506,08001008506,"Census Tract 85.06, Adams County, Colorado",2720,2720,2720,0,0,0
1400000US08001008507,08001008507,"Census Tract 85.07, Adams County, Colorado",2117,2117,2117,0,0,0
1400000US08001008508,08001008508,"Census Tract 85.08, Adams County, Colorado",1951,1951,1951,0,0,0
1400000US08001008523,08001008523,"Census Tract 85.23, Adams County, Colorado",2725,1106,1106,0,1619,0
1400000US08001008524,08001008524,"Census Tract 85.24, Adams County, Colorado",2533,2533,2533,0,0,0
1400000US08001008526,08001008526,"Census Tract 85.26, Adams County, Colorado",2480,2480,2480,0,0,0
1400000US08001008529,08001008529,"Census Tract 85.29, Adams County, Colorado",3447,3447,3447,0,0,0
1400000US08001008533,08001008533,"Census Tract 85.33, Adams County, Colorado",3127,3127,3127,0,0,0
1400000US08001008534,08001008534,"Census Tract 85.34, Adams County, Colorado",1428,1428,1428,0,0,0
1400000US08001008535,08001008535,"Census Tract 85.35, Adams County, Colorado",1182,1182,1182,0,0,0
1400000US08001008536,08001008536,"Census Tract 85.36, Adams County, Colorado",903,646,646,0,257,0
1400000US08001008537,08001008537,"Census Tract 85.37, Adams County, Colorado",1956,1956,1956,0,0,0
1400000US08001008538,08001008538,"Census Tract 85.38, Adams County, Colorado",1869,1778,1778,0,91,0
1400000US08001008539,08001008539,"Census Tract 85.39, Adams County, Colorado",2818,2774,2774,0,44,0
1400000US08001008540,08001008540,"Census Tract 85.40, Adams County, Colorado",2181,2123,2123,0,58,0
1400000US08001008541,08001008541,"Census Tract 85.41, Adams County, Colorado",1556,1364,1364,0,192,0
1400000US08001008542,08001008542,"Census Tract 85.42, Adams County, Colorado",2337,2274,2274,0,63,0
1400000US08001008543,08001008543,"Census Tract 85.43, Adams County, Colorado",2475,2475,2475,0,0,0
1400000US08001008544,08001008544,"Census Tract 85.44, Adams County, Colorado",1369,1369,1369,0,0,0
1400000US08001008545,08001008545,"Census Tract 85.45, Adams County, Colorado",2227,2227,2227,0,0,0
1400000US08001008546,08001008546,"Census Tract 85.46, Adams County, Colorado",1076,1076,1076,0,0,0
1400000US08001008547,08001008547,"Census Tract 85.47, Adams County, Colorado",1198,1198,1198,0,0,0
1400000US08001008548,08001008548,"Census Tract 85.48, Adams County, Colorado",556,556,556,0,0,0
1400000US08001008549,08001008549,"Census Tract 85.49, Adams County, Colorado",1323,1323,1323,0,0,0
